"ETA ID","VESSEL ID","PLACE ID","ETA","TERMINAL","VOYAGE","ETA SOURCE","RECORD CREATED","RECORD LAST UPDATED"
282741042,11744857,9472,"04/03/2018 00:00","","","AIS","21/02/2018 05:04:01","21/02/2018 05:04:01"
282759410,11744858,6406,"21/02/2018 11:00","","","AIS","21/02/2018 22:06:00","21/02/2018 22:06:01"
282763586,11744860,207,"01/03/2018 14:00","","","LAN","21/02/2018 23:42:01","21/02/2018 23:42:02"
282781194,11744952,7583,"22/02/2018 19:30","","","AIS","22/02/2018 00:06:01","22/02/2018 00:06:01"
282783218,11765526,5708,"22/02/2018 10:20","","","AIS","22/02/2018 02:15:01","22/02/2018 02:15:02"
282786180,11765526,8839,"23/02/2018 15:00","","","AIS","22/02/2018 06:07:04","22/02/2018 06:07:04"
282675832,11765527,2842,"20/02/2018 08:20","","","AIS","19/02/2018 23:04:01","19/02/2018 23:04:02"
282707902,11765527,3262,"22/02/2018 19:00","","","AIS","20/02/2018 13:03:00","20/02/2018 13:03:01"
282799720,11765529,576,"27/02/2018 12:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:02"
282795503,11765529,1697,"03/03/2018 00:00","","","LAN","22/02/2018 09:41:04","22/02/2018 09:41:04"
282762767,11765529,5623,"21/04/2018 06:00","","","LAN","21/02/2018 23:41:00","21/02/2018 23:41:03"
282751889,11765531,599,"21/02/2018 13:00","","","AIS","21/02/2018 12:07:04","21/02/2018 12:07:04"
282801075,11765531,2958,"05/03/2018 10:30","","","AIS","22/02/2018 16:06:00","22/02/2018 16:06:01"
282749484,11765532,1569,"23/02/2018 01:00","","","AIS","21/02/2018 09:09:02","21/02/2018 09:09:03"
282799484,11765534,7654,"27/02/2018 02:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:01"
282795388,11765536,3110,"23/02/2018 04:00","","","LAN","22/02/2018 09:41:04","22/02/2018 09:41:04"
282781789,11765536,3110,"23/02/2018 04:00","","","LAN","22/02/2018 01:03:04","22/02/2018 01:03:07"
282769413,11765536,1600,"25/02/2018 03:30","","","LAN","21/02/2018 23:47:02","21/02/2018 23:47:02"
282782187,11765536,1600,"25/02/2018 04:10","","","LAN","22/02/2018 01:03:04","22/02/2018 01:03:10"
282790939,11765536,4620,"25/02/2018 07:00","","","LAN","22/02/2018 07:33:05","22/02/2018 07:33:05"
282797459,11765539,5485,"23/02/2018 03:00","","","AIS","22/02/2018 11:04:02","22/02/2018 11:04:02"
282752403,11765540,4005,"21/02/2018 20:00","","","AIS","21/02/2018 13:10:03","21/02/2018 13:10:04"
282799735,11765543,576,"26/03/2018 08:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:02"
282787647,11782843,4436,"13/03/2018 01:00","","","AIS","22/02/2018 07:05:03","22/02/2018 07:05:05"
