"VESSEL ID","PSC ID","EVENT TYPE","INSPECTION PLACE","INITIAL DATE","INITIAL DATE QUALIFIER","FINAL DATE","FINAL DATE QUALIFIER","DETENTION IND","DEFICIENCIES IND","INSPECTION PRECIS","RECORD LAST UPDATED"
279395,15341298,"PSC","Nikolayev","22/01/2018","","","","N","N","","20/02/2018"
408163,15341303,"PSC","Tuapse","22/01/2018","","","","Y","N","","20/02/2018"
281457,15341304,"PSC","Nikolayev","22/01/2018","","","","N","N","","20/02/2018"
627718,15341305,"PSC","Novorossiysk","22/01/2018","","","","Y","N","","20/02/2018"
351837,15341306,"PSC","Novorossiysk","22/01/2018","","","","N","N","","20/02/2018"
368146,15341307,"PSC","Taman","22/01/2018","","","","Y","N","","20/02/2018"
10024218,15341308,"PSC","Tuapse","21/01/2018","","","","Y","N","","20/02/2018"
253432,15341311,"PSC","Yuzhnyy","17/01/2018","","","","N","N","","20/02/2018"
11057285,15341312,"PSC","Yuzhnyy","15/01/2018","","","","N","N","","20/02/2018"
12239400,15341313,"PSC","Yuzhnyy","15/01/2018","","","","N","N","","20/02/2018"
10742121,15360754,"PSC","Novorossiysk","30/01/2018","","01/02/2018","","Y","Y","","20/02/2018"
590175,15360762,"PSC","Novorossiysk","02/02/2018","","05/02/2018","","Y","Y","","20/02/2018"
324984,15360763,"PSC","Novorossiysk","01/02/2018","","02/02/2018","","Y","Y","","20/02/2018"
264313,15360766,"PSC","Novorossiysk","03/02/2018","","","","Y","N","","20/02/2018"
1093677,15360767,"PSC","Tuapse","03/02/2018","","","","Y","N","","20/02/2018"
10528145,15360768,"PSC","Novorossiysk","03/02/2018","","","","N","N","","20/02/2018"
340717,15360769,"PSC","Tuapse","02/02/2018","","","","Y","N","","20/02/2018"
11139219,15360770,"PSC","Trabzon","02/02/2018","","","","Y","N","","20/02/2018"
9660135,15360771,"PSC","Nikolayev","02/02/2018","","","","Y","N","","20/02/2018"
12259810,15360772,"PSC","Chornomorsk","02/02/2018","","","","N","N","","20/02/2018"
353585,15360773,"PSC","Nikolayev","02/02/2018","","","","Y","N","","20/02/2018"
3283075,15360774,"PSC","Nikolayev","02/02/2018","","","","Y","N","","20/02/2018"
1458110,15360775,"PSC","Nikolayev","02/02/2018","","","","N","N","","20/02/2018"
9708795,15360776,"PSC","Nikolayev","02/02/2018","","","","N","N","","20/02/2018"
123017,15360778,"PSC","Giresun","02/02/2018","","","","Y","N","","20/02/2018"
