"VESSEL ID","FLAG ID","FLAG CODE","CURRENT IND","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
10307312,9956943,"GRC","Y","01/03/2010","A","","","20/02/2018"
10381551,10033503,"GRC","Y","31/12/1993","B","","","20/02/2018"
10459274,10647435,"GRC","Y","09/09/2011","B","","","20/02/2018"
10459358,10638097,"GRC","Y","17/10/2011","B","","","20/02/2018"
10514954,11790603,"GRC","Y","29/06/2013","B","","","20/02/2018"
10519048,10123635,"GRC","Y","01/01/2008","B","","","20/02/2018"
10519232,10123819,"GRC","Y","03/09/2010","B","","","20/02/2018"
10656621,10262573,"GRC","Y","16/11/2010","B","","","20/02/2018"
10682302,10743052,"GRC","Y","31/12/2011","B","","","20/02/2018"
10682303,10743072,"GRC","Y","22/03/2012","B","","","20/02/2018"
10997009,10603782,"GRC","Y","03/11/2009","B","","","20/02/2018"
10999769,10607130,"GRC","Y","16/07/2011","B","","","20/02/2018"
11005157,11056772,"GRC","Y","23/10/2012","B","","","20/02/2018"
11005208,11963815,"GRC","Y","17/01/2014","B","","","20/02/2018"
11044975,10659332,"GRC","Y","01/12/2003","B","","","20/02/2018"
11046309,10660734,"GRC","Y","01/01/2007","A","","","20/02/2018"
11047284,10661808,"GRC","Y","19/08/2010","B","","","20/02/2018"
11057291,10676928,"GRC","Y","01/07/2011","B","","","20/02/2018"
11081461,10706193,"GRC","Y","11/03/2012","B","","","20/02/2018"
11082113,10706855,"GRC","Y","10/06/2010","B","","","20/02/2018"
11083551,10708410,"GRC","Y","18/10/2010","B","","","20/02/2018"
11086030,10710900,"GRC","Y","17/03/2012","B","","","20/02/2018"
11086725,10711629,"GRC","Y","01/01/2002","B","","","20/02/2018"
11090308,10716563,"GRC","Y","01/01/2004","A","","","20/02/2018"
11090488,10716754,"GRC","Y","01/05/1999","B","","","20/02/2018"
11092010,10718311,"GRC","Y","01/06/2008","B","","","20/02/2018"
11092024,10718325,"GRC","Y","01/11/1979","B","","","20/02/2018"
11092584,10718880,"GRC","Y","01/07/2005","B","","","20/02/2018"
11097096,10724760,"GRC","Y","29/03/2012","B","","","20/02/2018"
11099276,10727267,"GRC","Y","18/06/2001","B","","","20/02/2018"
11107548,10736453,"GRC","Y","01/03/2012","B","","","20/02/2018"
11107935,10736859,"GRC","Y","11/04/2012","B","","","20/02/2018"
11378687,11057490,"GRC","Y","24/10/2012","B","","","20/02/2018"
11696552,11389733,"GRC","Y","01/11/2016","B","","","21/02/2018"
11696724,11389924,"GRC","Y","09/01/2013","B","","","20/02/2018"
11744680,11970623,"LUX","","25/03/2014","B","21/02/2018","B","22/02/2018"
11744680,12574430,"CYP","Y","22/02/2018","B","","","22/02/2018"
11896686,11604162,"GRC","Y","30/04/2013","B","","","20/02/2018"
12035050,12337246,"GRC","Y","19/01/2016","B","","","20/02/2018"
12035052,11752522,"GRC","Y","23/07/2013","B","","","20/02/2018"
12035056,12345666,"GRC","Y","01/03/2016","B","","","20/02/2018"
12117355,11839900,"GRC","Y","17/09/2013","B","","","20/02/2018"
